OrchidAtlas_Field,Darwin_Core_Term,Processing_Rule,Example_Value,Notes
id,occurrenceID,ORCHID_ + id,ORCHID_12345,Unique identifier for this occurrence
scientific_name,scientificName,Direct copy,Bulbophyllum medusae,Complete scientific name
author,scientificNameAuthorship,Direct copy,(L.) Rchb.f.,Authorship of the scientific name
genus,genus,Direct copy,Bulbophyllum,Genus name
species,specificEpithet,Direct copy,medusae,Species epithet
clone_name,infraspecificEpithet,Direct copy,var. superbum,Variety or form name
is_hybrid,taxonRank,species OR hybrid,species,Taxonomic rank
pod_parent,taxonRemarks,Hybrid: pod_parent × pollen_parent,Hybrid: Parent1 × Parent2,Parentage information for hybrids
pollen_parent,taxonRemarks,Combine with pod_parent,See above,Combined with pod_parent
rhs_registration_id,catalogNumber,Direct copy,12345,RHS registration number
region,country,Parse country from region,Thailand,Country where observed
region,locality,Full region text,Northern Thailand,More specific locality
native_habitat,habitat,Direct copy,Epiphytic in cloud forests,Natural habitat description
cultural_notes,occurrenceRemarks,Direct copy,Requires cool conditions,Care and cultivation notes
ai_description,identificationRemarks,AI: + ai_description,AI: Large yellow flowers,AI-generated identification notes
photographer,recordedBy,Direct copy,Five Cities Orchid Society,Person who recorded/photographed
image_url,associatedMedia,Direct copy,https://...,URL to associated images
created_at,eventDate,ISO 8601 format,2024-08-24,Date when recorded
photo_date,eventDate,Use if available,2024-08-24,Actual photo date if known
google_drive_id,associatedMedia,Convert to URL,https://...,Media associated with occurrence
growth_habit,lifeStage,adult OR juvenile,adult,Life stage of the organism
bloom_time,reproductiveCondition,flowering OR non-flowering,flowering,Reproductive state
temperature_range,dynamicProperties,JSON: {temp_range: value},{temp_range: cool-intermediate},Additional properties as JSON
light_requirements,dynamicProperties,JSON: {light: value},{light: bright-indirect},Additional properties as JSON
water_requirements,dynamicProperties,JSON: {water: value},{water: moist-not-wet},Additional properties as JSON
fertilizer_needs,dynamicProperties,JSON: {fertilizer: value},{fertilizer: weekly-dilute},Additional properties as JSON
is_featured,dynamicProperties,JSON: {featured: true/false},{featured: true},Whether this is a featured specimen
view_count,dynamicProperties,JSON: {views: count},{views: 1250},Number of times viewed
ai_confidence,identificationRemarks,AI confidence: + value,AI confidence: 95%,AI identification confidence
ocr_text,identificationRemarks,OCR: + ocr_text,OCR: Label text here,Text extracted from labels
validation_status,identificationRemarks,Status: + status,Status: validated,Validation status
ingestion_source,collectionCode,Direct copy,google_sheets_import,Source of the data
user_id,recordedBy,Lookup user name,John Smith,User who uploaded/recorded
continent,stateProvince,Direct copy,Asia,Continent or state/province
climate_zone,locality,Combine with region,Tropical Asia,Climate information
conservation_status,dynamicProperties,JSON: {conservation: status},{conservation: LC},IUCN conservation status
pollinator_types,associatedTaxa,Join with semicolons,Apis mellifera; Bombus species,Associated pollinator species
mycorrhizal_fungi,associatedTaxa,Combine with pollinators,Rhizoctonia species,Associated mycorrhizal fungi
morphological_traits,dynamicProperties,JSON object,{lip_color: purple; column_color: white},Morphological characteristics
variation_analysis,dynamicProperties,JSON object,{variation_type: color_form},Phenotypic variation data
phenotype_variations,dynamicProperties,JSON array,[alba; coerulea; peloric],Phenotype variation list
mutation_indicators,dynamicProperties,JSON array,[teratology; peloria],Mutation indicators
enhancement_data,dynamicProperties,JSON object,{enhanced: true; method: AI},Enhancement metadata
flowering_time,reproductiveCondition,Month or season,Spring bloomer,When the plant flowers
is_fragrant,dynamicProperties,JSON: {fragrant: true/false},{fragrant: true},Whether flowers are fragrant
STATIC_kingdom,,Always Plantae,Plantae,Taxonomic kingdom
STATIC_phylum,,Always Tracheophyta,Tracheophyta,Vascular plants
STATIC_class,,Always Liliopsida,Liliopsida,Monocots
STATIC_order,,Always Asparagales,Asparagales,Orchid order
STATIC_family,,Always Orchidaceae,Orchidaceae,Orchid family
STATIC_basisOfRecord,,Always HumanObservation,HumanObservation,Type of record
STATIC_geodeticDatum,,Always WGS84,WGS84,Coordinate system
STATIC_institutionCode,,Always FCOS,FCOS,Five Cities Orchid Society
STATIC_license,,Always CC-BY-NC,CC-BY-NC,Usage license
STATIC_rights,,Copyright statement,© Five Cities Orchid Society,Rights statement